availability;description;brand;name;id;price;category;images;quantity
10 dni;Producent: Lutec  <br>Nazwa: VIRGO  <br>Symbol: 7008201001  <br>Parametry<br><br>  * średnica (mm): <br>  * wysokość (mm): 750<br>  * szerokość (mm): 130<br>  * głębokość (mm): 130<br>  * ilość źródeł / rodzaj trzonka: 1 x LED zintegr. 4W 350lm 3000K<br>  * max moc źródła: 4 W<br>  * napięcie: 230<br>  * źródło w zestawie: LED zintegr.<br>  * kolor lampy: Stalowy<br>  * materiał: stal nierdzewna/tworzywo<br>  * IP: 44<br><br><br><br><br> Specyficzne kody<br>;Lutec;VIRGO STOJĄCA;8774;150.06;Stojące zewnętrzne;https://jasniej.com/19555-thickbox_01resp/virgo-stojaca.jpg, https://jasniej.com/19556-thickbox_01resp/virgo-stojaca.jpg, https://jasniej.com/19557-thickbox_01resp/virgo-stojaca.jpg;2
10 dni;Producent: Lutec  <br>Nazwa: BATI  <br>Symbol: 7188601125  <br>Parametry<br><br>  * średnica (mm): <br>  * wysokość (mm): 650<br>  * szerokość (mm): 82<br>  * głębokość (mm): 82<br>  * ilość źródeł / rodzaj trzonka: 1 x LED zintegr. 14W 1100lm 4000K<br>  * max moc źródła: 14 W<br>  * napięcie: 230<br>  * źródło w zestawie: LED zintegr.<br>  * kolor lampy: Szary węgiel drzewny<br>  * materiał: aluminium/tworzywo<br>  * IP: 44<br><br><br><br><br> Specyficzne kody<br>;Lutec;BATI STOJĄCA;8744;270.6;Stojące zewnętrzne;https://jasniej.com/19465-thickbox_01resp/bati-stojaca.jpg, https://jasniej.com/19466-thickbox_01resp/bati-stojaca.jpg, https://jasniej.com/19467-thickbox_01resp/bati-stojaca.jpg;4
10 dni;Producent: Lutec  <br>Nazwa: ARMOR  <br>Symbol: 7216702118  <br>Parametry<br><br>  * średnica (mm): <br>  * wysokość (mm): 600<br>  * szerokość (mm): 150<br>  * głębokość (mm): 150<br>  * ilość źródeł / rodzaj trzonka: 1 x LED zintegr. 9W 650lm 3000K<br>  * max moc źródła: 9 W<br>  * napięcie: 230<br>  * źródło w zestawie: LED zintegr.<br>  * kolor lampy: Antracyt<br>  * materiał: aluminium/tworzywo<br>  * IP: 54<br><br><br><br><br> Specyficzne kody<br>;Lutec;ARMOR STOJĄCA;8731;360.39;Stojące zewnętrzne;https://jasniej.com/19426-thickbox_01resp/armor-stojaca.jpg, https://jasniej.com/19427-thickbox_01resp/armor-stojaca.jpg, https://jasniej.com/19428-thickbox_01resp/armor-stojaca.jpg;1
10 dni;Producent: Lutec  <br>Nazwa: QUBO  <br>Symbol: 7193001118  <br>Parametry<br><br>  * średnica (mm): <br>  * wysokość (mm): 750<br>  * szerokość (mm): 92<br>  * głębokość (mm): 110<br>  * ilość źródeł / rodzaj trzonka: 1 x LED zintegr. 18W 1100lm 3000K<br>  * max moc źródła: 18 W<br>  * napięcie: 230<br>  * źródło w zestawie: LED zintegr.<br>  * kolor lampy: Antracyt<br>  * materiał: aluminium/tworzywo<br>  * IP: 54<br><br><br><br><br> Specyficzne kody<br>;Lutec;QUBO STOJĄCA;8729;316.11;Stojące zewnętrzne;https://jasniej.com/19420-thickbox_01resp/qubo-stojaca.jpg, https://jasniej.com/19421-thickbox_01resp/qubo-stojaca.jpg, https://jasniej.com/19422-thickbox_01resp/qubo-stojaca.jpg;4
10 dni;Producent: Lutec  <br>Nazwa: FLAT  <br>Symbol: 7005201001  <br>Parametry<br><br>  * średnica (mm): <br>  * wysokość (mm): 450<br>  * szerokość (mm): 50<br>  * głębokość (mm): 100<br>  * ilość źródeł / rodzaj trzonka: 1 x LED zintegr. 8W 400lm 3000K<br>  * max moc źródła: 8 W<br>  * napięcie: 230<br>  * źródło w zestawie: LED zintegr.<br>  * kolor lampy: Stalowy<br>  * materiał: stal nierdzewna/tworzywo<br>  * IP: 44<br><br><br><br><br> Specyficzne kody<br>;Lutec;FLAT STOJĄCA;8733;226.32;Stojące zewnętrzne;https://jasniej.com/19432-thickbox_01resp/flat-stojaca.jpg, https://jasniej.com/19433-thickbox_01resp/flat-stojaca.jpg, https://jasniej.com/19434-thickbox_01resp/flat-stojaca.jpg;4
10 dni;Producent: Lutec  <br>Nazwa: EXPLORER  <br>Symbol: 6609205118  <br>Parametry<br><br>  * średnica (mm): <br>  * wysokość (mm): 430<br>  * szerokość (mm): 90<br>  * głębokość (mm): 91<br>  * ilość źródeł / rodzaj trzonka: 1 x LED zintegr. 7W 430lm 27006500K<br>  * max moc źródła: 7 W<br>  * napięcie: 230<br>  * źródło w zestawie: LED zintegr.<br>  * kolor lampy: Antracyt<br>  * materiał: aluminium/tworzywo<br>  * IP: 54<br><br><br><br><br> Specyficzne kody<br>;Lutec;EXPLORER STOJĄCA;8722;270.6;Stojące zewnętrzne;https://jasniej.com/19399-thickbox_01resp/explorer-stojaca.jpg, https://jasniej.com/19400-thickbox_01resp/explorer-stojaca.jpg, https://jasniej.com/19401-thickbox_01resp/explorer-stojaca.jpg;8
10 dni;Producent: Lutec  <br>Nazwa: QUBO  <br>Symbol: 7193002118  <br>Parametry<br><br>  * średnica (mm): <br>  * wysokość (mm): 750<br>  * szerokość (mm): 110<br>  * głębokość (mm): 93<br>  * ilość źródeł / rodzaj trzonka: 1 x LED zintegr. 16W 1000lm 27006500K<br>  * max moc źródła: 16 W<br>  * napięcie: 230<br>  * źródło w zestawie: LED zintegr.<br>  * kolor lampy: Antracyt<br>  * materiał: aluminium/tworzywo<br>  * IP: 54<br><br><br><br><br> Specyficzne kody<br>;Lutec;QUBO STOJĄCA;8730;541.2;Stojące zewnętrzne;https://jasniej.com/19423-thickbox_01resp/qubo-stojaca.jpg, https://jasniej.com/19424-thickbox_01resp/qubo-stojaca.jpg, https://jasniej.com/19425-thickbox_01resp/qubo-stojaca.jpg;3
10 dni;Producent: Lutec  <br>Nazwa: CUBA  <br>Symbol: 7193801118  <br>Parametry<br><br>  * średnica (mm): <br>  * wysokość (mm): 750<br>  * szerokość (mm): 237<br>  * głębokość (mm): 110<br>  * ilość źródeł / rodzaj trzonka: 1 x LED zintegr. 23W 1000lm 3000K<br>  * max moc źródła: 23 W<br>  * napięcie: 230<br>  * źródło w zestawie: LED zintegr.<br>  * kolor lampy: Antracyt<br>  * materiał: aluminium/tworzywo<br>  * IP: 54<br><br><br><br><br> Specyficzne kody<br>;Lutec;CUBA STOJĄCA;8714;495.69;Stojące zewnętrzne;https://jasniej.com/19375-thickbox_01resp/cuba-stojaca.jpg, https://jasniej.com/19376-thickbox_01resp/cuba-stojaca.jpg, https://jasniej.com/19377-thickbox_01resp/cuba-stojaca.jpg;1
10 dni;Producent: Lutec  <br>Nazwa: SPICA  <br>Symbol: 7271004118  <br>Parametry<br><br>  * średnica (mm): <br>  * wysokość (mm): 100<br>  * szerokość (mm): 120<br>  * głębokość (mm): 120<br>  * ilość źródeł / rodzaj trzonka: 1 x LED zintegr. 16W 1000lm 27006500K<br>  * max moc źródła: 16 W<br>  * napięcie: 230<br>  * źródło w zestawie: LED zintegr.<br>  * kolor lampy: Antracyt<br>  * materiał: aluminium/tworzywo<br>  * IP: 65<br><br><br><br><br> Specyficzne kody<br>;Lutec;SPICA STOJĄCA;8745;586.71;Stojące zewnętrzne;https://jasniej.com/19468-thickbox_01resp/spica-stojaca.jpg, https://jasniej.com/19469-thickbox_01resp/spica-stojaca.jpg, https://jasniej.com/19470-thickbox_01resp/spica-stojaca.jpg;7
10 dni;Producent: Lutec  <br>Nazwa: LONDON  <br>Symbol: 6951301189  <br>Parametry<br><br>  * średnica (mm): <br>  * wysokość (mm): 227<br>  * szerokość (mm): 310<br>  * głębokość (mm): 310<br>  * ilość źródeł / rodzaj trzonka: 3 x E12 6W 300lm 2700K<br>  * max moc źródła: 6 W<br>  * napięcie: 0<br>  * źródło w zestawie: E12<br>  * kolor lampy: Brązowy<br>  * materiał: aluminium/szkło<br>  * IP: 44<br><br><br><br><br> Specyficzne kody<br>;Lutec;LONDON STOJĄCA;8856;811.8;Stojące zewnętrzne;https://jasniej.com/19801-thickbox_01resp/london-stojaca.jpg, https://jasniej.com/19802-thickbox_01resp/london-stojaca.jpg, https://jasniej.com/19803-thickbox_01resp/london-stojaca.jpg;2
