availability;description;features;brand;name;id;price;categories;image;images
10 dni;Producent: Lutec  <br>Nazwa: UNITE  <br>Symbol: 7260311030  <br>Parametry<br><br>  * średnica (mm): <br>  * wysokość (mm): 985<br>  * szerokość (mm): 165<br>  * głębokość (mm): 165<br>  * ilość źródeł / rodzaj trzonka: 1 x LED zintegr. 9W 330lm 3000K<br>  * max moc źródła: 9 W<br>  * napięcie: 230<br>  * źródło w zestawie: LED zintegr.<br>  * kolor lampy: Biały mat<br>  * materiał: aluminium/tworzywo<br>  * IP: 44;Specyficzne kody;Lutec;UNITE STOJĄCA;8810;211.56;'Strona główna', 'Oświetlenie', 'Lampy zewnętrzne', 'Stojące zewnętrzne', 'UNITE STOJĄCA';https://jasniej.com/19663-large_01resp/unite-stojaca.jpg;'https://jasniej.com/19663-medium_01resp/unite-stojaca.jpg', 'https://jasniej.com/19664-medium_01resp/unite-stojaca.jpg', 'https://jasniej.com/19665-medium_01resp/unite-stojaca.jpg'
10 dni;Producent: Lutec  <br>Nazwa: VIRGO  <br>Symbol: 7008201001  <br>Parametry<br><br>  * średnica (mm): <br>  * wysokość (mm): 750<br>  * szerokość (mm): 130<br>  * głębokość (mm): 130<br>  * ilość źródeł / rodzaj trzonka: 1 x LED zintegr. 4W 350lm 3000K<br>  * max moc źródła: 4 W<br>  * napięcie: 230<br>  * źródło w zestawie: LED zintegr.<br>  * kolor lampy: Stalowy<br>  * materiał: stal nierdzewna/tworzywo<br>  * IP: 44;Specyficzne kody;Lutec;VIRGO STOJĄCA;8774;150.06;'Strona główna', 'Oświetlenie', 'Lampy zewnętrzne', 'Stojące zewnętrzne', 'VIRGO STOJĄCA';https://jasniej.com/19555-large_01resp/virgo-stojaca.jpg;'https://jasniej.com/19555-medium_01resp/virgo-stojaca.jpg', 'https://jasniej.com/19556-medium_01resp/virgo-stojaca.jpg', 'https://jasniej.com/19557-medium_01resp/virgo-stojaca.jpg'
10 dni;Producent: Lutec  <br>Nazwa: SPICA  <br>Symbol: 7271004118  <br>Parametry<br><br>  * średnica (mm): <br>  * wysokość (mm): 100<br>  * szerokość (mm): 120<br>  * głębokość (mm): 120<br>  * ilość źródeł / rodzaj trzonka: 1 x LED zintegr. 16W 1000lm 27006500K<br>  * max moc źródła: 16 W<br>  * napięcie: 230<br>  * źródło w zestawie: LED zintegr.<br>  * kolor lampy: Antracyt<br>  * materiał: aluminium/tworzywo<br>  * IP: 65;Specyficzne kody;Lutec;SPICA STOJĄCA;8745;586.71;'Strona główna', 'Oświetlenie', 'Lampy zewnętrzne', 'Stojące zewnętrzne', 'SPICA STOJĄCA';https://jasniej.com/19468-large_01resp/spica-stojaca.jpg;'https://jasniej.com/19468-medium_01resp/spica-stojaca.jpg', 'https://jasniej.com/19469-medium_01resp/spica-stojaca.jpg', 'https://jasniej.com/19470-medium_01resp/spica-stojaca.jpg'
10 dni;Producent: Lutec  <br>Nazwa: ARMOR  <br>Symbol: 7216702118  <br>Parametry<br><br>  * średnica (mm): <br>  * wysokość (mm): 600<br>  * szerokość (mm): 150<br>  * głębokość (mm): 150<br>  * ilość źródeł / rodzaj trzonka: 1 x LED zintegr. 9W 650lm 3000K<br>  * max moc źródła: 9 W<br>  * napięcie: 230<br>  * źródło w zestawie: LED zintegr.<br>  * kolor lampy: Antracyt<br>  * materiał: aluminium/tworzywo<br>  * IP: 54;Specyficzne kody;Lutec;ARMOR STOJĄCA;8731;360.39;'Strona główna', 'Oświetlenie', 'Lampy zewnętrzne', 'Stojące zewnętrzne', 'ARMOR STOJĄCA';https://jasniej.com/19426-large_01resp/armor-stojaca.jpg;'https://jasniej.com/19426-medium_01resp/armor-stojaca.jpg', 'https://jasniej.com/19427-medium_01resp/armor-stojaca.jpg', 'https://jasniej.com/19428-medium_01resp/armor-stojaca.jpg'
10 dni;Producent: Lutec  <br>Nazwa: FOCUS  <br>Symbol: 7204803118  <br>Parametry<br><br>  * średnica (mm): <br>  * wysokość (mm): 400<br>  * szerokość (mm): 160<br>  * głębokość (mm): 160<br>  * ilość źródeł / rodzaj trzonka: 1 x GU10 35W<br>  * max moc źródła: 35 W<br>  * napięcie: 230<br>  * źródło w zestawie: brak<br>  * kolor lampy: Antracyt<br>  * materiał: aluminium/tworzywo<br>  * IP: 44;Specyficzne kody;Lutec;FOCUS STOJĄCA;8787;270.6;'Strona główna', 'Oświetlenie', 'Lampy zewnętrzne', 'Stojące zewnętrzne', 'FOCUS STOJĄCA';https://jasniej.com/19594-large_01resp/focus-stojaca.jpg;'https://jasniej.com/19594-medium_01resp/focus-stojaca.jpg', 'https://jasniej.com/19595-medium_01resp/focus-stojaca.jpg', 'https://jasniej.com/19596-medium_01resp/focus-stojaca.jpg'
10 dni;Producent: Lutec  <br>Nazwa: BATI  <br>Symbol: 7188601125  <br>Parametry<br><br>  * średnica (mm): <br>  * wysokość (mm): 650<br>  * szerokość (mm): 82<br>  * głębokość (mm): 82<br>  * ilość źródeł / rodzaj trzonka: 1 x LED zintegr. 14W 1100lm 4000K<br>  * max moc źródła: 14 W<br>  * napięcie: 230<br>  * źródło w zestawie: LED zintegr.<br>  * kolor lampy: Szary węgiel drzewny<br>  * materiał: aluminium/tworzywo<br>  * IP: 44;Specyficzne kody;Lutec;BATI STOJĄCA;8744;270.6;'Strona główna', 'Oświetlenie', 'Lampy zewnętrzne', 'Stojące zewnętrzne', 'BATI STOJĄCA';https://jasniej.com/19465-large_01resp/bati-stojaca.jpg;'https://jasniej.com/19465-medium_01resp/bati-stojaca.jpg', 'https://jasniej.com/19466-medium_01resp/bati-stojaca.jpg', 'https://jasniej.com/19467-medium_01resp/bati-stojaca.jpg'
10 dni;Producent: Lutec  <br>Nazwa: FLAT  <br>Symbol: 7005201001  <br>Parametry<br><br>  * średnica (mm): <br>  * wysokość (mm): 450<br>  * szerokość (mm): 50<br>  * głębokość (mm): 100<br>  * ilość źródeł / rodzaj trzonka: 1 x LED zintegr. 8W 400lm 3000K<br>  * max moc źródła: 8 W<br>  * napięcie: 230<br>  * źródło w zestawie: LED zintegr.<br>  * kolor lampy: Stalowy<br>  * materiał: stal nierdzewna/tworzywo<br>  * IP: 44;Specyficzne kody;Lutec;FLAT STOJĄCA;8733;226.32;'Strona główna', 'Oświetlenie', 'Lampy zewnętrzne', 'Stojące zewnętrzne', 'FLAT STOJĄCA';https://jasniej.com/19432-large_01resp/flat-stojaca.jpg;'https://jasniej.com/19432-medium_01resp/flat-stojaca.jpg', 'https://jasniej.com/19433-medium_01resp/flat-stojaca.jpg', 'https://jasniej.com/19434-medium_01resp/flat-stojaca.jpg'
10 dni;Producent: Lutec  <br>Nazwa: QUBO  <br>Symbol: 7193002118  <br>Parametry<br><br>  * średnica (mm): <br>  * wysokość (mm): 750<br>  * szerokość (mm): 110<br>  * głębokość (mm): 93<br>  * ilość źródeł / rodzaj trzonka: 1 x LED zintegr. 16W 1000lm 27006500K<br>  * max moc źródła: 16 W<br>  * napięcie: 230<br>  * źródło w zestawie: LED zintegr.<br>  * kolor lampy: Antracyt<br>  * materiał: aluminium/tworzywo<br>  * IP: 54;Specyficzne kody;Lutec;QUBO STOJĄCA;8730;541.2;'Strona główna', 'Oświetlenie', 'Lampy zewnętrzne', 'Stojące zewnętrzne', 'QUBO STOJĄCA';https://jasniej.com/19423-large_01resp/qubo-stojaca.jpg;'https://jasniej.com/19423-medium_01resp/qubo-stojaca.jpg', 'https://jasniej.com/19424-medium_01resp/qubo-stojaca.jpg', 'https://jasniej.com/19425-medium_01resp/qubo-stojaca.jpg'
10 dni;Producent: Lutec  <br>Nazwa: QUBO  <br>Symbol: 7193001118  <br>Parametry<br><br>  * średnica (mm): <br>  * wysokość (mm): 750<br>  * szerokość (mm): 92<br>  * głębokość (mm): 110<br>  * ilość źródeł / rodzaj trzonka: 1 x LED zintegr. 18W 1100lm 3000K<br>  * max moc źródła: 18 W<br>  * napięcie: 230<br>  * źródło w zestawie: LED zintegr.<br>  * kolor lampy: Antracyt<br>  * materiał: aluminium/tworzywo<br>  * IP: 54;Specyficzne kody;Lutec;QUBO STOJĄCA;8729;316.11;'Strona główna', 'Oświetlenie', 'Lampy zewnętrzne', 'Stojące zewnętrzne', 'QUBO STOJĄCA';https://jasniej.com/19420-large_01resp/qubo-stojaca.jpg;'https://jasniej.com/19420-medium_01resp/qubo-stojaca.jpg', 'https://jasniej.com/19421-medium_01resp/qubo-stojaca.jpg', 'https://jasniej.com/19422-medium_01resp/qubo-stojaca.jpg'
10 dni;Producent: Lutec  <br>Nazwa: CUBA  <br>Symbol: 7193801118  <br>Parametry<br><br>  * średnica (mm): <br>  * wysokość (mm): 750<br>  * szerokość (mm): 237<br>  * głębokość (mm): 110<br>  * ilość źródeł / rodzaj trzonka: 1 x LED zintegr. 23W 1000lm 3000K<br>  * max moc źródła: 23 W<br>  * napięcie: 230<br>  * źródło w zestawie: LED zintegr.<br>  * kolor lampy: Antracyt<br>  * materiał: aluminium/tworzywo<br>  * IP: 54;Specyficzne kody;Lutec;CUBA STOJĄCA;8714;495.69;'Strona główna', 'Oświetlenie', 'Lampy zewnętrzne', 'Stojące zewnętrzne', 'CUBA STOJĄCA';https://jasniej.com/19375-large_01resp/cuba-stojaca.jpg;'https://jasniej.com/19375-medium_01resp/cuba-stojaca.jpg', 'https://jasniej.com/19376-medium_01resp/cuba-stojaca.jpg', 'https://jasniej.com/19377-medium_01resp/cuba-stojaca.jpg'
